a1,b1,c1,d1,a2
8,1,4,2,1
8,1,4,10,1
8,1,5,2,1
8,1,5,10,1
8,1,12,2,1
8,1,12,10,1
8,1,13,2,1
8,1,13,10,1
8,4,4,2,1
8,4,4,10,1
8,4,5,2,1
8,4,5,10,1
8,4,12,2,1
8,4,12,10,1
8,4,13,2,1
8,4,13,10,1
9,1,4,2,1
9,1,4,2,3
9,1,4,10,1
9,1,4,10,3
9,1,5,2,1
9,1,5,2,3
9,1,5,10,1
9,1,5,10,3
9,1,12,2,1
9,1,12,2,3
9,1,12,10,1
9,1,12,10,3
9,1,13,2,1
9,1,13,2,3
9,1,13,10,1
9,1,13,10,3
9,4,4,2,1
9,4,4,2,3
9,4,4,10,1
9,4,4,10,3
9,4,5,2,1
9,4,5,2,3
9,4,5,10,1
9,4,5,10,3
9,4,12,2,1
9,4,12,2,3
9,4,12,10,1
9,4,12,10,3
9,4,13,2,1
9,4,13,2,3
9,4,13,10,1
9,4,13,10,3
10,1,4,2,3
10,1,4,10,3
10,1,5,2,3
10,1,5,10,3
10,1,12,2,3
10,1,12,10,3
10,1,13,2,3
10,1,13,10,3
10,4,4,2,3
10,4,4,10,3
10,4,5,2,3
10,4,5,10,3
10,4,12,2,3
10,4,12,10,3
10,4,13,2,3
10,4,13,10,3
